PROVINCIA,TIPO DE CREDITO, MONTO OTORGADO ,TIPO CREDITO
SUCUMBIOS,PRODUCTIVO PYMES,2163897.48,PRODUCTIVO
TUNGURAHUA,COMERCIAL ORDINARIO,76247882.38,COMERCIAL
TUNGURAHUA,COMERCIAL PRIORITARIO CORPORATIVO,209064666.5,COMERCIAL
TUNGURAHUA,COMERCIAL PRIORITARIO EMPRESARIAL,64085837.89,COMERCIAL
TUNGURAHUA,COMERCIAL PRIORITARIO PYMES,74725643.26,COMERCIAL
TUNGURAHUA,CONSUMO ORDINARIO,6758394.06,CONSUMO
TUNGURAHUA,CONSUMO PRIORITARIO,70360391.7,CONSUMO
TUNGURAHUA,EDUCATIVO,1167422,EDUCATIVO
TUNGURAHUA,INMOBILIARIO,17196256.54,INMOBILIARIO
TUNGURAHUA,INVERSION PUBLICA,6445118.04,INVERSION PUBLICA
TUNGURAHUA,MICROCREDITO DE ACUMULACION AMPLIADA,31524206.1,MICROCREDITO
TUNGURAHUA,MICROCREDITO DE ACUMULACION SIMPLE,43098940.01,MICROCREDITO
TUNGURAHUA,MICROCREDITO MINORISTA,1512815.2,MICROCREDITO
TUNGURAHUA,PRODUCTIVO CORPORATIVO,33891381.86,PRODUCTIVO
TUNGURAHUA,PRODUCTIVO EMPRESARIAL,10515600.81,PRODUCTIVO
TUNGURAHUA,PRODUCTIVO PYMES,6917644.53,PRODUCTIVO
TUNGURAHUA,VIVIENDA INTERES PUBLICO,5749294.18,VIVIENDA INTERES PUBLICO
ZAMORA,COMERCIAL ORDINARIO,35000,COMERCIAL
ZAMORA,COMERCIAL PRIORITARIO CORPORATIVO,15000,COMERCIAL
ZAMORA,COMERCIAL PRIORITARIO EMPRESARIAL,2097133.47,COMERCIAL
ZAMORA,COMERCIAL PRIORITARIO PYMES,4006681.33,COMERCIAL
ZAMORA,CONSUMO ORDINARIO,769282.99,CONSUMO
ZAMORA,CONSUMO PRIORITARIO,5300473.27,CONSUMO
ZAMORA,EDUCATIVO,28711.65,EDUCATIVO
ZAMORA,INMOBILIARIO,1942281.96,INMOBILIARIO
ZAMORA,INVERSION PUBLICA,163050.82,INVERSION PUBLICA
ZAMORA,MICROCREDITO DE ACUMULACION AMPLIADA,13503969.02,MICROCREDITO
ZAMORA,MICROCREDITO DE ACUMULACION SIMPLE,11311878.03,MICROCREDITO
ZAMORA,MICROCREDITO MINORISTA,357811.03,MICROCREDITO
ZAMORA,PRODUCTIVO PYMES,781800,PRODUCTIVO
ZAMORA,VIVIENDA INTERES PUBLICO,131300,VIVIENDA INTERES PUBLICO
