PROVINCIA,TIPO DE CREDITO, MONTO OTORGADO ,TIPO CREDITO
CHIMBORAZO,MICROCREDITO DE ACUMULACION SIMPLE,44454760.43,MICROCREDITO
CHIMBORAZO,MICROCREDITO MINORISTA,3467633.14,MICROCREDITO
CHIMBORAZO,PRODUCTIVO CORPORATIVO,150000,PRODUCTIVO
CHIMBORAZO,PRODUCTIVO EMPRESARIAL,1353500,PRODUCTIVO
CHIMBORAZO,PRODUCTIVO PYMES,4284512.75,PRODUCTIVO
CHIMBORAZO,VIVIENDA INTERES PUBLICO,2797296.9,VIVIENDA INTERES PUBLICO
COTOPAXI,COMERCIAL ORDINARIO,35490,COMERCIAL
COTOPAXI,COMERCIAL PRIORITARIO CORPORATIVO,16872221.34,COMERCIAL
COTOPAXI,COMERCIAL PRIORITARIO EMPRESARIAL,12928728.16,COMERCIAL
COTOPAXI,COMERCIAL PRIORITARIO PYMES,18878849.37,COMERCIAL
COTOPAXI,CONSUMO ORDINARIO,1539909.93,CONSUMO
COTOPAXI,CONSUMO PRIORITARIO,53381427.88,CONSUMO
COTOPAXI,EDUCATIVO,126762.21,EDUCATIVO
COTOPAXI,INMOBILIARIO,5329628.33,INMOBILIARIO
COTOPAXI,INVERSION PUBLICA,8233877.76,INVERSION PUBLICA
COTOPAXI,MICROCREDITO DE ACUMULACION AMPLIADA,28358792.75,MICROCREDITO
COTOPAXI,MICROCREDITO DE ACUMULACION SIMPLE,51037740.69,MICROCREDITO
COTOPAXI,MICROCREDITO MINORISTA,2373093.37,MICROCREDITO
COTOPAXI,PRODUCTIVO CORPORATIVO,760407.22,PRODUCTIVO
COTOPAXI,PRODUCTIVO EMPRESARIAL,2615677.57,PRODUCTIVO
COTOPAXI,PRODUCTIVO PYMES,2038272.18,PRODUCTIVO
COTOPAXI,VIVIENDA INTERES PUBLICO,177397.15,VIVIENDA INTERES PUBLICO
Destino geográfico fuera territorio nacional,COMERCIAL ORDINARIO,32473546.85,COMERCIAL
Destino geográfico fuera territorio nacional,COMERCIAL PRIORITARIO CORPORATIVO,220656056.9,COMERCIAL
Destino geográfico fuera territorio nacional,COMERCIAL PRIORITARIO EMPRESARIAL,10972753.36,COMERCIAL
Destino geográfico fuera territorio nacional,COMERCIAL PRIORITARIO PYMES,15970906.78,COMERCIAL
Destino geográfico fuera territorio nacional,CONSUMO PRIORITARIO,864.73,CONSUMO
Destino geográfico fuera territorio nacional,INMOBILIARIO,506731.06,INMOBILIARIO
Destino geográfico fuera territorio nacional,MICROCREDITO DE ACUMULACION AMPLIADA,38960.75,MICROCREDITO
Destino geográfico fuera territorio nacional,MICROCREDITO DE ACUMULACION SIMPLE,26193.75,MICROCREDITO
Destino geográfico fuera territorio nacional,MICROCREDITO MINORISTA,11569.1,MICROCREDITO
Destino geográfico fuera territorio nacional,VIVIENDA INTERES PUBLICO,500619.98,VIVIENDA INTERES PUBLICO
EL ORO,COMERCIAL ORDINARIO,1435419.98,COMERCIAL
EL ORO,COMERCIAL PRIORITARIO CORPORATIVO,118308939.4,COMERCIAL
EL ORO,COMERCIAL PRIORITARIO EMPRESARIAL,108213665.7,COMERCIAL
EL ORO,COMERCIAL PRIORITARIO PYMES,124129344.9,COMERCIAL
EL ORO,CONSUMO ORDINARIO,5087944.68,CONSUMO
EL ORO,CONSUMO PRIORITARIO,98091122.43,CONSUMO
EL ORO,EDUCATIVO,561101.58,EDUCATIVO
EL ORO,INMOBILIARIO,12661202.98,INMOBILIARIO
EL ORO,INVERSION PUBLICA,21893981.12,INVERSION PUBLICA
EL ORO,MICROCREDITO DE ACUMULACION AMPLIADA,22215452.67,MICROCREDITO
EL ORO,MICROCREDITO DE ACUMULACION SIMPLE,44891190.73,MICROCREDITO
EL ORO,MICROCREDITO MINORISTA,1255690.64,MICROCREDITO
EL ORO,PRODUCTIVO CORPORATIVO,6348000,PRODUCTIVO
EL ORO,PRODUCTIVO EMPRESARIAL,17984411.21,PRODUCTIVO
EL ORO,PRODUCTIVO PYMES,12592659.09,PRODUCTIVO
EL ORO,VIVIENDA INTERES PUBLICO,839199.74,VIVIENDA INTERES PUBLICO
